,first_mover_count
AJDOVŠČINA,0
BEŽIGRAD,1
BIZOVIK,0
BRDO,0
BRINJE I,1
BRINJE II,0
DOBROVA,0
DOBRUNJE,0
DRAVLJE,1
GAMELJNE,0
GLINCE,0
GOLOVEC,0
GRADIŠČE I,0
GRADIŠČE II,1
GRIČ,0
JAVOR,0
JEŽICA,1
KARLOVŠKO PREDMESTJE,0
KAŠELJ,0
KRAKOVSKO PREDMESTJE,0
LJUBLJANA MESTO,0
MOSTE,2
NADGORICA,0
NOVE JARŠE,0
PODGORICA,0
PODSMREKA,0
POLJANSKO PREDMESTJE,0
PRULE,0
RUDNIK,1
SLAPE,1
SOSTRO,0
SPODNJA ŠIŠKA,3
STANEŽIČE,0
STOŽICE,0
TABOR,0
TACEN,0
TOMIŠELJ,0
TREBELJEVO,0
TRNOVSKO PREDMESTJE,0
UDMAT,0
VIČ,3
VIŽMARJE,0
VOLAVLJE,0
ZADOBROVA,0
ZELENA JAMA,2
ZGORNJA ŠIŠKA,1
ČRNUČE,0
ŠENTPETER,0
ŠENTVID NAD LJUBLJANO,0
ŠMARTNO OB SAVI,0
ŠMARTNO POD ŠMARNO GORO,0
ŠTEPANJA VAS,0
ŠUJICA,0
