,leader_count
AJDOVŠČINA,68
BEŽIGRAD,65
BIZOVIK,43
BRDO,53
BRINJE I,46
BRINJE II,47
DOBROVA,32
DOBRUNJE,46
DRAVLJE,84
GAMELJNE,37
GLINCE,41
GOLOVEC,31
GRADIŠČE I,34
GRADIŠČE II,40
GRIČ,34
JAVOR,27
JEŽICA,59
KARLOVŠKO PREDMESTJE,42
KAŠELJ,55
KRAKOVSKO PREDMESTJE,31
LJUBLJANA MESTO,55
MOSTE,84
NADGORICA,26
NOVE JARŠE,32
PODGORICA,34
PODSMREKA,7
POLJANSKO PREDMESTJE,48
PRULE,39
RUDNIK,37
SLAPE,44
SOSTRO,25
SPODNJA ŠIŠKA,57
STANEŽIČE,35
STOŽICE,78
TABOR,58
TACEN,43
TOMIŠELJ,10
TREBELJEVO,10
TRNOVSKO PREDMESTJE,65
UDMAT,70
VIČ,65
VIŽMARJE,36
VOLAVLJE,23
ZADOBROVA,48
ZELENA JAMA,36
ZGORNJA ŠIŠKA,28
ČRNUČE,32
ŠENTPETER,27
ŠENTVID NAD LJUBLJANO,46
ŠMARTNO OB SAVI,45
ŠMARTNO POD ŠMARNO GORO,16
ŠTEPANJA VAS,50
ŠUJICA,40
